timestamp,adx_centered,atr_expansion,atr_pct,bb_position,ema21_50_ratio,ema9_21_ratio,ema9_dist,keltner_pos,log_return_1,log_return_20,log_return_5,macd_signal_dist,rsi_centered,session_cos,session_sin,stoch_centered,supertrend_dist,wick_body_ratio,label,barrier_distance
2026-04-17 14:00:00+00:00,0.564756469388572,1.4819865480647516,0.001222158363058351,0.08651764112203415,-0.0014028176911257326,-0.001553626099470283,-0.001499861561048755,-0.3347240839259755,-0.0002055596583280211,-0.005265747776458556,-0.000924494649325943,-0.37089673592214945,-0.5001430611042708,-0.8660254037844388,-0.4999999999999997,-0.6926262302433689,-2.6055801386262476,6.747212909906461,1,0.0011416963168552944
2026-04-17 14:15:00+00:00,0.6708667915800283,1.284494848278743,0.0012906642698643305,0.09145460099597347,-0.0015300619239635702,-0.0016279631101046425,-0.0015801410904697877,-0.3305386917575403,-0.000475360618068529,-0.005038017294393342,-7.705945416457207e-05,-0.3385725583811838,-0.568433322373416,-0.8314696123025455,-0.555570233019602,-0.7662857133845081,-2.83684849555975,2.774840328699812,1,0.0012051190648760114
2026-04-17 14:30:00+00:00,0.7577044072882535,1.100209660038691,0.0013503150068374602,0.1395767590457969,-0.0016351512267853083,-0.0016511446826764345,-0.0012542268713967737,-0.21878390014763127,1.2869188680549497e-05,-0.005191365423310622,-0.0017462980758297195,-0.2910276604126543,-0.5612172550306477,-0.7933533402912352,-0.6087614290087207,-0.7624490903484126,-2.701964298749772,96.85937481754202,1,0.0012608323778424944
2026-04-17 14:45:00+00:00,0.8175378061398209,0.9719171296742388,0.0013978184370506941,0.25116688270357235,-0.0016787846003832514,-0.0015484687947970102,-0.0003462577250669388,0.04744118228463819,0.0008221357023658883,-0.004612142338897035,-0.0001412042443673803,-0.20122310351669218,-0.1416068908373262,-0.7518398074789774,-0.6593458151000688,-0.5172477716665154,-2.0200818426201046,1.296915175689109,1,0.0013062613351004463
2026-04-17 15:00:00+00:00,0.8178092343025896,0.8101518871076386,0.0014455927959996899,0.26985882692544927,-0.001713591375498101,-0.0014512626850195492,-0.0003181033141781792,0.09139276349994806,-5.135890025424596e-05,-0.004279980173539447,0.00010272571439568022,-0.1304400992083799,-0.15925936290251572,-0.7071067811865479,-0.7071067811865471,-0.5325714267690163,-1.9889507869866399,21.00245549518275,1,0.001350837094443185
2026-04-17 15:15:00+00:00,0.8000571047438121,0.8064066178221735,0.0014892202841553007,0.3770657176997983,-0.0016922039566738048,-0.0012575925956280565,0.00045408787318823585,0.31987817000424307,0.0008856671397995938,-0.0038289540510342886,0.0011939525125232587,-0.03498330034460754,0.1968879469905251,-0.6593458151000691,-0.7518398074789773,-0.25825805472517815,-1.3345194022093134,1.3285914262546548,1,0.0013928379331316265
2026-04-17 15:30:00+00:00,0.77316958335165,0.7443160308204567,0.0015199548258520263,0.4226042335836899,-0.0016529265055460782,-0.0010630736230827216,0.0005891015608000521,0.3958687958296216,0.0002822295387503865,-0.003559523137345994,0.001951542669342288,0.0434461252377736,0.2844977156240529,-0.6087614290087209,-0.7933533402912349,-0.15139946375790472,-1.121509054251251,3.8181890927707567,1,0.0014219846044267925
2026-04-17 15:45:00+00:00,0.7482714837094326,0.6927706780924616,0.0015073590114813083,0.4234024513173296,-0.0016206825744210502,-0.0009190669780581419,0.0003480577797905451,0.373585486246344,-0.00015391265613323048,-0.003853981345838003,0.00178476082452847,0.09197127055652225,0.1955832322491706,-0.5555702330196022,-0.8314696123025452,-0.11648520780390001,-1.2331699543875265,6.2985067512465776,1,0.0014099836349487304
2026-04-17 16:00:00+00:00,0.7087827266644473,0.6429441705319775,0.0014725778583158607,0.43893593767829137,-0.0015880757406437425,-0.0008004250304441102,0.00025786859187599734,0.37707314869398356,-2.569264621554826e-05,-0.003879673992053548,0.0009369324759470889,0.1268105317217332,0.1785610653804507,-0.5000000000000004,-0.8660254037844385,-0.026902799933864543,-1.2797764872751383,22.46911616305001,1,0.0013774139540536064
2026-04-17 16:15:00+00:00,0.7005612506294951,0.6867970621642902,0.001311706908181942,0.4211783263672663,-0.0015698412764492073,-0.0007331733628133564,-4.0054566289694167e-05,0.30336124244943785,-0.0003079043098119708,-0.004072553328369639,0.0006803870663894163,0.15140402268680242,-0.02858019434476219,-0.44228869021900136,-0.8968727415326883,0.4644480991255685,-1.6719452153107124,2.999986363744454,1,0.0012265614100864955
